City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,batemans bay,-35.7167,150.1833,54.54,78,0,4.97,AU,1675531116
197,siguiri,11.6667,-9.5,96.87,8,40,3.31,GN,1675531116
198,buraydah,26.326,43.975,63.05,34,1,10.31,SA,1675531117
199,qaanaaq,77.484,-69.3632,-3.98,62,88,7.02,GL,1675530647
200,sao filipe,14.8961,-24.4956,74.08,62,82,10.36,CV,1675530810
201,okhotsk,59.3833,143.3,-15.86,83,45,10.16,RU,1675531118
202,laguna,38.421,-121.4238,56.08,89,100,5.75,US,1675530851
203,serov,59.6033,60.5787,7.75,97,100,3.02,RU,1675531119
204,vila franca do campo,37.7167,-25.4333,63.01,76,61,7.27,PT,1675530600
205,dennery,13.8996,-60.8879,84.33,77,75,20.71,LC,1675531120
206,likhoslavl,57.1275,35.464,24.13,92,99,3.83,RU,1675531120
207,hengshui,37.7322,115.7011,36.19,49,0,8.77,CN,1675531121
208,nantucket,41.2835,-70.0995,9.09,56,0,20.71,US,1675530948
209,vorozhba,51.1733,34.2192,27.0,95,99,7.83,UA,1675531122
210,karaton,-6.3424,106.1045,75.49,91,100,4.29,ID,1675531123
211,kamsack,51.5667,-101.9009,21.33,91,100,3.27,CA,1675531123
212,buala,-8.145,159.5921,79.5,84,100,4.29,SB,1675530803
213,araguari,-18.6472,-48.1872,82.69,68,100,5.86,BR,1675531125
214,farafangana,-22.8167,47.8333,76.06,88,100,11.95,MG,1675531125
215,roald,62.5833,6.1333,42.94,65,75,18.41,NO,1675531126
216,port elizabeth,-33.918,25.5701,74.32,92,42,5.01,ZA,1675530550
217,kaliua,-5.0606,31.7936,71.13,69,64,2.62,TZ,1675531127
218,carutapera,-1.195,-46.02,82.6,77,71,10.47,BR,1675530662
219,saint-georges,12.0564,-61.7485,78.48,89,75,13.8,GD,1675531128
220,hasaki,35.7333,140.8333,37.8,59,0,18.14,JP,1675530631
221,ekhabi,53.5102,142.9671,-18.53,97,48,9.06,RU,1675531129
222,pitimbu,-7.4706,-34.8086,86.59,69,37,12.84,BR,1675530841
223,atambua,-9.1061,124.8925,73.17,92,100,2.77,ID,1675531129
224,dakar,14.6937,-17.4441,86.88,60,76,15.79,SN,1675531013
225,tagajo,38.2937,141.0056,33.01,73,4,10.85,JP,1675531130
226,chaoyang,41.5703,120.4586,23.86,38,2,5.23,CN,1675531131
227,maridi,4.9158,29.4742,82.72,21,55,4.25,SS,1675531131
228,opuwo,-18.0607,13.84,80.94,23,88,11.74,NA,1675531065
229,haines junction,60.7522,-137.5108,10.35,85,100,0.0,CA,1675531132
230,asau,46.4333,26.4,29.32,96,100,8.16,RO,1675530685
231,ejea de los caballeros,42.1263,-1.1372,50.22,57,0,17.07,ES,1675531133
232,ostersund,63.1792,14.6357,23.45,58,0,13.8,SE,1675531133
233,yulara,-25.2406,130.9889,69.76,33,0,10.47,AU,1675531134
234,moyale,3.5167,39.0584,76.95,25,76,11.99,KE,1675531134
235,mehamn,71.0357,27.8492,22.95,68,86,2.3,NO,1675530824
236,faya,18.3851,42.4509,55.92,70,74,4.63,SA,1675530874
237,maniitsoq,65.4167,-52.9,1.18,80,54,11.74,GL,1675530968
238,paamiut,61.994,-49.6678,9.39,76,100,12.77,GL,1675530699
239,samarai,-10.6167,150.6667,81.03,78,100,7.07,PG,1675531136
240,jitra,6.2681,100.4217,78.69,73,20,4.61,MY,1675531137
241,baykit,61.67,96.37,2.43,99,100,2.17,RU,1675531137
242,candelaria,13.9311,121.4233,75.38,87,87,5.59,PH,1675531138
243,sindor,62.8629,51.8905,-4.23,100,94,2.28,RU,1675531138
244,dunedin,-45.8742,170.5036,68.81,82,90,8.99,NZ,1675531139
245,anloga,5.7947,0.8973,83.12,80,57,15.46,GH,1675530989
246,shemonaikha,50.6328,81.9056,20.84,97,100,2.48,KZ,1675531140
247,collierville,35.042,-89.6645,40.57,79,0,9.22,US,1675531141
248,tuktoyaktuk,69.4541,-133.0374,-37.55,100,27,1.25,CA,1675530536
249,kulynychi,49.9823,36.3842,30.0,94,91,4.34,UA,1675531142
250,cabo san lucas,22.8909,-109.9124,75.61,47,20,3.44,MX,1675530532
251,llandrindod wells,52.2416,-3.3787,47.39,75,100,10.96,GB,1675531144
252,olinda,-8.0089,-34.8553,87.53,62,40,14.97,BR,1675530977
253,kalmunai,7.4167,81.8167,76.35,89,63,8.25,LK,1675531148
254,norman wells,65.282,-126.8329,-16.58,98,94,3.71,CA,1675530725
255,klaksvik,62.2266,-6.589,41.92,77,51,34.16,FO,1675530472
256,uarini,-2.99,-65.1083,76.87,91,100,2.42,BR,1675531156
257,mogadishu,2.0371,45.3438,76.86,77,32,21.45,SO,1675531159
258,sitka,57.0531,-135.33,33.69,86,100,3.44,US,1675530775
259,saskylakh,71.9167,114.0833,-47.61,100,58,1.41,RU,1675530693
260,qaqortoq,60.7167,-46.0333,23.61,61,100,12.86,GL,1675531162
261,saint cloud,45.5608,-94.1625,16.75,67,20,3.44,US,1675531130
262,cabra,37.4725,-4.4421,54.91,42,0,3.09,ES,1675531164
263,lunenburg,44.3835,-64.3155,5.05,75,100,36.82,CA,1675531173
264,tabas,33.5959,56.9244,46.62,49,33,2.3,IR,1675531173
265,dhidhdhoo,6.8833,73.1,80.6,75,100,6.91,MV,1675531175
266,kosh-agach,50.0,88.6667,-3.5,97,78,1.77,RU,1675530667
267,amalapuram,16.5833,82.0167,69.13,82,0,2.82,IN,1675531130
268,kaitangata,-46.2817,169.8464,67.55,73,81,5.17,NZ,1675530652
269,geraldton,-28.7667,114.6,73.81,88,1,5.75,AU,1675530684
270,nguruka,-5.1092,31.0419,71.67,72,79,2.26,TZ,1675531177
271,eureka,40.8021,-124.1637,53.2,79,100,7.0,US,1675530936
272,touros,-5.1989,-35.4608,86.22,62,100,14.72,BR,1675530695
273,mananjary,-21.2167,48.3333,75.78,90,69,7.85,MG,1675531178
274,porangatu,-13.4408,-49.1486,85.46,64,81,2.04,BR,1675531179
275,comodoro rivadavia,-45.8667,-67.5,73.26,49,0,10.36,AR,1675531180
276,xingyi,24.1877,102.817,48.83,89,100,3.2,CN,1675531180
277,port hueneme,34.1478,-119.1951,66.52,55,0,4.61,US,1675531181
278,kutum,14.2,24.6667,71.31,11,44,9.46,SD,1675531181
279,goderich,43.7501,-81.7165,18.91,72,94,27.31,CA,1675530798
280,huntingdon,52.3305,-0.1865,48.25,78,78,1.99,GB,1675531182
281,zeya,53.75,127.2667,-19.35,100,97,3.18,RU,1675531183
282,leh,34.1667,77.5833,7.5,78,22,3.42,IN,1675531183
283,sirvintos,55.05,24.95,26.24,90,90,11.68,LT,1675531184
284,taltal,-25.4,-70.4833,72.66,76,12,4.99,CL,1675531185
285,sisimiut,66.9395,-53.6735,-2.74,92,100,6.49,GL,1675530636
286,porto novo,6.4965,2.6036,85.82,73,93,12.59,BJ,1675531186
287,fallon,39.4735,-118.7774,36.91,80,75,5.75,US,1675530617
288,korcula,42.9622,17.1369,46.06,51,0,35.21,HR,1675531186
289,ilulissat,69.2167,-51.1,-0.38,85,100,2.3,GL,1675530726
290,marystown,47.1666,-55.1483,5.07,91,100,34.16,CA,1675531187
291,kasongo-lunda,-6.4667,16.8167,70.74,96,87,3.13,CD,1675531188
292,beisfjord,68.3751,17.5988,32.47,92,100,8.08,NO,1675531188
293,winder,33.9926,-83.7202,43.88,38,0,0.0,US,1675531189
294,namibe,-15.1961,12.1522,73.33,74,94,11.63,AO,1675530657
295,pop,40.8736,71.1089,43.29,73,90,2.3,UZ,1675531190
296,bindura,-17.3019,31.3306,68.58,87,93,2.46,ZW,1675531190
297,totness,5.8833,-56.3167,80.19,78,32,12.97,SR,1675531191
298,sioux lookout,50.1001,-91.917,4.32,90,96,3.89,CA,1675530645
299,burns lake,54.2331,-125.7533,31.42,99,100,3.98,CA,1675531192
300,baruun-urt,46.6806,113.2792,-1.46,84,33,3.33,MN,1675531193
301,cockburn town,21.4612,-71.1419,77.25,75,2,15.57,TC,1675530853
302,progreso,21.2833,-89.6667,73.51,75,46,16.4,MX,1675531194
303,bethel,41.3712,-73.414,14.02,43,0,4.61,US,1675530636
304,severnyy-kospashskiy,59.0925,57.8008,8.6,64,100,2.55,RU,1675531195
305,wanaka,-44.7,169.15,65.17,96,100,4.41,NZ,1675531195
306,vestmanna,62.1564,-7.1664,40.12,56,75,21.85,FO,1675531196
307,martvili,42.4144,42.3792,42.85,55,100,5.06,GE,1675531091
308,gushikawa,26.3544,127.8686,63.63,88,100,3.44,JP,1675530646
309,vanavara,60.34,102.2797,3.58,98,97,3.47,RU,1675531197
310,nianzishan,47.5167,122.8833,-2.22,94,24,4.29,CN,1675531198
311,namtsy,62.7161,129.6658,-28.08,100,99,1.95,RU,1675531198
312,kuryk,43.2,51.65,35.26,76,2,6.02,KZ,1675531198
313,santo tomas,14.1079,121.1414,75.56,81,84,7.02,PH,1675531199
314,talcahuano,-36.7167,-73.1167,64.08,82,100,10.36,CL,1675531200
315,manta,-0.95,-80.7333,82.18,74,75,5.75,EC,1675531200
316,glendive,47.1053,-104.7125,44.22,49,0,17.27,US,1675531201
317,olafsvik,64.8945,-23.7142,35.8,58,95,33.15,IS,1675530652
318,tura,25.5198,90.2201,59.76,47,1,2.26,IN,1675530639
319,tuatapere,-46.1333,167.6833,65.23,91,100,6.26,NZ,1675531205
320,navoi,40.0844,65.3792,42.28,93,100,2.3,UZ,1675531214
321,mahon,39.8885,4.2658,59.56,51,0,8.05,ES,1675530831
322,morondava,-20.2833,44.2833,82.15,76,0,11.01,MG,1675531217
323,palu,-0.8917,119.8707,75.2,93,99,2.62,ID,1675530839
324,luderitz,-26.6481,15.1594,68.5,71,23,21.94,NA,1675531220
325,pasighat,28.0667,95.3333,63.27,35,7,3.38,IN,1675531227
326,catuday,16.2923,119.8062,74.95,74,47,11.12,PH,1675531230
327,kidal,18.4411,1.4078,83.8,8,68,7.16,ML,1675531233
328,kolokani,13.5728,-8.0339,92.66,10,76,8.57,ML,1675531235
329,north bend,43.4065,-124.2243,52.07,90,0,5.75,US,1675530670
330,miyako,39.6367,141.9525,28.94,79,36,7.49,JP,1675531237
331,fayaoue,-20.65,166.5333,82.54,83,51,21.32,NC,1675531237
332,poum,-20.2333,164.0167,81.25,80,98,9.01,NC,1675530674
333,sawtell,-30.3833,153.1,66.22,88,1,4.61,AU,1675531238
334,rancho palos verdes,33.7445,-118.387,62.51,58,0,1.99,US,1675531239
335,nouakchott,18.0858,-15.9785,80.53,23,100,12.28,MR,1675531239
336,inhambane,-23.865,35.3833,77.76,82,30,10.83,MZ,1675530852
337,karratha,-20.7377,116.8463,87.26,50,47,11.48,AU,1675530690
338,antalaha,-14.9003,50.2788,78.57,85,15,10.4,MG,1675531241
339,kuusamo,65.9667,29.1833,3.24,85,0,1.14,FI,1675531241
340,gravdal,68.1214,13.5031,37.17,66,100,26.55,NO,1675531242
341,jefferson city,38.5767,-92.1735,50.86,42,0,11.99,US,1675530995
342,portland,45.5234,-122.6762,48.61,91,100,9.22,US,1675530502
343,bouna,9.2667,-3.0,98.67,11,11,6.51,CI,1675531243
344,port hardy,50.6996,-127.4199,44.78,93,75,25.32,CA,1675531243
345,ola,59.5833,151.2833,-13.49,88,89,7.99,RU,1675531244
346,tromso,69.6496,18.957,32.02,80,40,13.8,NO,1675531049
347,sao joao da barra,-21.6403,-41.0511,91.49,73,14,9.82,BR,1675530840
348,gouyave,12.1646,-61.7296,77.77,89,75,13.8,GD,1675531245
349,chicama,-7.8447,-79.1469,72.14,54,61,9.8,PE,1675531246
350,kaeo,-35.1,173.7833,68.32,94,85,4.52,NZ,1675530758
351,maceio,-9.6658,-35.7353,87.24,62,40,13.8,BR,1675530724
352,marshall,34.3834,-86.3333,49.32,43,0,4.61,US,1675531247
353,palmer,42.1584,-72.3287,10.49,24,20,8.05,US,1675531247
354,mecca,21.4267,39.8261,72.43,45,29,11.99,SA,1675530524
355,marawi,7.9986,124.2928,67.6,93,100,1.61,PH,1675531248
356,panzhihua,26.5851,101.7128,52.18,38,0,1.66,CN,1675531248
357,sulina,45.1559,29.6536,39.02,81,100,11.1,RO,1675531249
358,la poza,20.1167,-96.9667,69.3,49,1,6.42,MX,1675531250
359,nha trang,12.25,109.1833,75.2,83,75,4.52,VN,1675531250
360,bakel,14.905,-12.4568,91.51,7,97,9.4,SN,1675531251
361,krasnogvardeyskiy,57.3793,62.3195,5.13,93,70,4.34,RU,1675531252
362,mahibadhoo,3.7833,72.9667,80.04,73,79,7.81,MV,1675531252
363,college,64.8569,-147.8028,8.55,81,75,6.91,US,1675531253
364,mountain home,43.133,-115.6912,29.68,80,0,12.66,US,1675531140
365,clarence town,-32.5833,151.7833,67.86,45,0,3.31,AU,1675531254
366,severodvinsk,64.5635,39.8302,21.31,98,47,4.05,RU,1675530814
